"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria184","0302560100","Bacaladillas (Micromesistius poutassou Micromesistius australis)"
"catalogos_fraccionarancelaria185","0302599900","Los demás"
"catalogos_fraccionarancelaria186","0302710100","Tilapias (Oreochromis spp)"
"catalogos_fraccionarancelaria187","0302720100","Bagres o peces gato (Pangasius spp Silurus spp Clarias spp Ictalurus spp)"
"catalogos_fraccionarancelaria188","0302730100","Carpas (Cyprinus spp Carassius spp Ctenopharyngodon idellus Hypophthalmichthys spp Cirrhinus spp Mylopharyngodon piceus Catla catla Labeo spp Osteochilus hasselti Leptobarbus hoeveni Megalobrama spp)"
"catalogos_fraccionarancelaria189","0302740100","Anguilas (Anguilla spp)"
"catalogos_fraccionarancelaria190","0302799900","Los demás"
"catalogos_fraccionarancelaria191","0302810100","Cazones y demás escualos"
"catalogos_fraccionarancelaria192","0302820100","Rayas (Rajidae)"
"catalogos_fraccionarancelaria193","0302830100","Austromerluzas antárticas y austromerluzas negras (merluzas negras bacalaos de profundidad nototenias negras) (Dissostichus spp)"
"catalogos_fraccionarancelaria194","0302840100","Róbalos (Dicentrarchus spp)"
"catalogos_fraccionarancelaria195","0302850100","Sargos (Doradas Espáridos) (Sparidae)"
"catalogos_fraccionarancelaria196","0302890100","Totoabas"
"catalogos_fraccionarancelaria197","0302899900","Los demás"
"catalogos_fraccionarancelaria198","0302910100","Hígados huevas y lechas"
"catalogos_fraccionarancelaria199","0302920100","Aletas de tiburón"
"catalogos_fraccionarancelaria200","0302990100","De Atunes (del género Thunnus) listados o bonitos de vientre rayado (Euthynnus (Katsuwonus) pelamis)"
"catalogos_fraccionarancelaria201","0302990200","De Merluzas (Merluccius spp Urophycis spp)"
"catalogos_fraccionarancelaria202","0302990300","De Totoabas"
"catalogos_fraccionarancelaria203","0302999900","Los demás"
"catalogos_fraccionarancelaria204","0303110100","Salmones rojos (Oncorhynchus nerka)"
"catalogos_fraccionarancelaria205","0303129100","Los demás salmones del Pacífico (Oncorhynchus gorbuscha Oncorhynchus keta Oncorhynchus tschawytscha Oncorhynchus kisutch Oncorhynchus masou y Oncorhynchus rhodurus)"
"catalogos_fraccionarancelaria206","0303130100","Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
"catalogos_fraccionarancelaria207","0303140100","Truchas (Salmo trutta Oncorhynchus mykiss Oncorhynchus clarki Oncorhynchus aguabonita Oncorhynchus gilae Oncorhynchus apache y Oncorhynchus chrysogaster)"
"catalogos_fraccionarancelaria208","0303199900","Los demás"
"catalogos_fraccionarancelaria209","0303230100","Tilapias (Oreochromis spp)"
"catalogos_fraccionarancelaria210","0303240100","Bagres o peces gato (Pangasius spp Silurus spp Clarias spp Ictalurus spp)"
"catalogos_fraccionarancelaria211","0303250100","Carpas (Cyprinus spp Carassius spp Ctenopharyngodon idellus Hypophthalmichthys spp Cirrhinus spp Mylopharyngodon piceus Catla catla Labeo spp Osteochilus hasselti Leptobarbus hoeveni Megalobrama spp)"
"catalogos_fraccionarancelaria212","0303260100","Anguilas (Anguilla spp)"
"catalogos_fraccionarancelaria213","0303299900","Los demás"
"catalogos_fraccionarancelaria214","0303310100","Fletanes (halibut) (Reinhardtius hippoglossoides Hippoglossus hippoglossus Hippoglossus stenolepis)"
"catalogos_fraccionarancelaria215","0303320100","Sollas (Pleuronectes platessa)"
"catalogos_fraccionarancelaria216","0303330100","Lenguados (Solea spp)"
"catalogos_fraccionarancelaria217","0303340100","Rodaballos (turbots) (Psetta maxima)"
"catalogos_fraccionarancelaria218","0303399900","Los demás"
